,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
3471,#,difference,gdp (usd bin) in 2012,what,country,gdp (usd bin) in 2012,algeria,nan,what is the difference in the gdp (usd bin) in 2012 between algeria and comoros ?
3472,highest,comparee,2017 gdp,which,country,2017 gdp,country,most,which country has the highest 2017 gdp ?
3473,least,comparee,amount of per capita usd in 2012,which,country,amount of per capita usd in 2012,country,least,which country had the least amount of per capita usd in 2012 ?
3474,highest,comparee,per capita (usd) for 2017,which,country,per capita (usd) for 2017,country,most,which country has the highest per capita (usd) for 2017 ?
3475,most,comparee,bonus points,who,driver,bonus points,#,most,who got the most bonus points ?
3476,most,comparee,consecutive finishes,which,make,consecutive finishes,make,most,which make had the most consecutive finishes at the aarons 499 ?
3477,least,comparee,amount of winnings,what,driver,amount of winnings,driver,least,what driver earned the least amount of winnings ?
3478,first,comparee,number of winnings,who,driver,number of winnings,#,least,who is first in number of winnings on this list ?
3479,longer,comparee,#,who,president,#,ali saibou,nan,"who ruled longer, ali saibou or mamadou tandja ?"
3480,first,difference,partly free status,how many,year,partly free status,years,least,how many years was it before the first partly free status ?
3481,most,comparee,points per game,which,tournament,points per game,tournament,most,which tournament had the most points per game ?
3482,least,comparee,points per game,which,tournament,points per game,tournament,least,during which tournament did florent average the least points per game ?
3483,most,comparee,points per game,which,tournament,points per game,tournament,most,in which tournament did the team score the most points per game ?
3484,#,difference,belgium,what,1st leg,belgium,the first,least,what was the difference in the first and second leg for belgium ?
3485,same,comparee,engine,which,car,engine,#,least,which engines are the same as the first entry ('89 u12 bluebird ltd) ?
3486,least,comparee,amount of power,which,engine,amount of power,engine(s),least,which engine(s) has the least amount of power ?
3487,first,comparee,city,which,city,city,city,least,which city is shown first on the table ?
3488,first,comparee,time,was,year,time,#,least,when was the first time the race was finished in under 10 seconds ?
3489,least,comparee,time,what,city,time,city,least,what city is listed with the least time ?
3490,greater,comparee,10 seconds,was,year,10 seconds,race,nan,when was the last race that was timed at greater than 10 seconds ?
3491,#,difference,iowa,what,finalists,iowa,the finalists,nan,what is the difference in points between the finalists and average in iowa ?
3492,last,comparee,#,what,state,#,state,most,what state came in last in the evening gown competition ?
3493,first,comparee,position,who,state,position,#,nan,who placed first ?
3494,highest,comparee,finalists,who,state,finalists,#,most,who scored the highest in the swimsuit round ?
3495,#,difference,attendance,what,week,attendance,week 1,nan,what was the difference in attendance from week 1 and week 12 ?
3496,least,comparee,final score,which,date,final score,game date,least,which game date shows the least in the final score for a win ?
3497,first,comparee,year,what,year,year,#,least,what was the first year they qualified after 2004 ?
3498,most,comparee,playoffs,which,playoffs,playoffs,results,most,which results were listed the most under the playoffs column ?
3499,most,comparee,consecutive regular season 1st place finishes,what,#,consecutive regular season 1st place finishes,#,most,what was the most consecutive regular season 1st place finishes ?
3500,last,comparee,year,#,year,year,#,most,last year not to make the open cup
3501,#,comparee,first place regular season finishes,how many,#,first place regular season finishes,#,least,how many first place regular season finishes did the team have from 2004-2013
3502,last,comparee,playoffs,what,playoffs,playoffs,result,most,what was the result of the last playoffs ?
3503,first,comparee,driver,who,driver,driver,#,least,who placed first in the 2008 canadian grand prix ?
3504,fastest,comparee,#,who,driver,#,#,nan,who had the fastest lap time ?
3505,last,comparee,driver,who,driver,driver,#,most,who was the last driver listed to receive points ?
3506,least,comparee,amount of laps,which,driver,amount of laps,all the retired drivers,least,"of all the retired drivers, which of them completed the least amount of laps ?"
3507,most,comparee,drivers represent,which,#,drivers represent,country,most,which country did most drivers represent ?
3508,top,comparee,amount of points,who,driver,amount of points,#,least,who earned the top amount of points ?
3509,least,comparee,amount of points,which,driver,amount of points,driver,least,which driver earned the least amount of points.
3510,most,comparee,points,what,driver,points,driver,most,what driver earned the most points ?
3511,most,comparee,total point,what,driver,total point,the driver who received the most points,most,what is the total point difference between the driver who received the most points and the driver who received the least ?
3512,first,index,driver,which,driver,driver,alex tagliani,nan,which canadian driver finished first: alex tagliani or paul tracy ?
3513,least,comparee,amount of points,which,driver,amount of points,driver,least,which driver has the least amount of points ?
3514,first,comparee,game,what,date,game,date,least,what date was the first game played ?
3515,first,index,#,was,#,#,#,least,the first win by the ottawa senators in the first half of the regular season was to...
3516,first,comparee,lost,which,#,lost,team,least,the senators' first lost came against which team ?
3517,same,index,total score,is,date,total score,december 26,equal,is the total score for december 26 the same score as january 2 ?
3518,first,comparee,#,what,year,#,year,least,what year was eddie royal first in the leauge
3519,longest,difference,punt,how,#,punt,#,most,"how long was denver bronco player eddie royal's longest punt return in 2008, a year when he made a total of 140 yards in punt returns ?"
3520,more,difference,passengers,how many,city,passengers,los angeles,more,how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013 ?
3521,#,difference,passengers,#,city,passengers,los angeles,nan,the difference in passengers between los angeles and toronto
3522,most,comparee,passengers,which,airline,passengers,airline,most,which airline carries the most passengers ?
3523,least,comparee,number of passengers,which,city,number of passengers,city,least,the least number of passengers came from which city
3524,most,comparee,passengers,which,city,passengers,canadian city,most,which canadian city had the most passengers traveling from manzanillo international airport in 2013 ?
3525,more or less,index,#,are,visiting team 	,#,the wins for finland,nan,are the wins for finland more/less than their losses at home ?
3526,first,comparee,face greece,what,date,face greece,year,least,in what year did finland first face greece ?
3527,#,difference,date,how long,#,date,jari litmanen's first international goal,least,"how long (rounded to the nearest month), was it between jari litmanen's first international goal and second international goal ?"
3528,first,comparee,competition,what,competition,competition,name,least,what was the name of the first competition according to this chart ?
3529,#,comparee,album,what,album,album,#,least,pulse was the first album what was the second ?
3530,last,comparee,album,what,album,album,title,most,what is the title of the last album ?
3531,first,comparee,album,what,album,album,name,least,what was the name of the first album released ?
3532,larger,comparee,land area,which,township,land area,townships,nan,"which townships in pope county, arkansas have larger land area than smyrna township ?"
3533,most,comparee,land area in miles,which,township,land area in miles,#,most,which has the most land area in miles ?
3534,least,comparee,amount of water area,which,township,amount of water area,township,least,"which township in pope county, arkansas has the least amount of water area ?"
3535,least,comparee,water area in miles,which,township,water area in miles,township,least,which township has the least water area in miles ?
3536,largest,comparee,population,which,township,population,township,most,which township has the largest population ?
3537,more,comparee,television,which,organisation,television,#,more,"which organization has more television channels in nambour, queensland, nine network or australian broadcasting commission ?"
3538,last,comparee,channel,what,definition,channel,definition,most,what is the definition of the last channel ?
3539,more or less,index,combined points,did,player,combined points,two competitors from hungary,less,did the two competitors from hungary get more or less combined points than the two competitors from argentina ?
3540,largest,comparee,number of &#931; points,which,player,number of &#931; points,player,most,which player had the largest number of &#931; points ?
3541,top,comparee,scorer,who,player,scorer,#,least,who was the top scorer from switzerland ?
3542,most,comparee,points,which,player,points,player,most,the most points were scored by which player ?
3543,largest,comparee,#,who,opponent,#,did,most,who did they have the largest win/loss differential against ?
3544,most,comparee,games,which,opponent,games,team,most,"of the teams with 100% wins, which team played the most games ?"
3545,larger,comparee,amount of events,who,#,amount of events,discussed,nan,who discussed a larger amount of events between matthew and mark ?
3546,largest,comparee,amount of topics,who,#,amount of topics,discused,most,who discused the largest amount of topics ?
3547,longest,comparee,consecutive amount of topics,what,type,consecutive amount of topics,#,most,what is the longest consecutive amount of topics that luke write about ?
3548,last,comparee,competition,where,venue,competition,#,most,where was the last competition held ?
3549,more,comparee,titles,which,team,titles,michigan state,more,"which team had more titles, michigan state or colorado college ?"
3550,last,comparee,team,how many,titles,team,titles,most,how many titles does the last team on this chart have ?
3551,longest,comparee,number of years,which,team,number of years,school,most,which school has participated the longest number of years ?
3552,most,comparee,titles,which,team,titles,team,most,which team has the most titles at the great lakes invitational ?
3553,most,comparee,times,which,team,times,school,most,which school has placed fourth the most times ?
3554,most,comparee,fourth place,which,team,fourth place,team,most,which team had the most fourth place finishes ?
3555,more,index,#,does,#,#,#,more,does der liebeswalzer or man?verkinder contain more acts ?
3556,most,comparee,opperettaa,which,"place, theatre",opperettaa,city,most,in which city did the most operettas premiere ?
3557,last,comparee,title,what,première date,title,year,most,what was the year of the last title ?
3558,last,comparee,opperetta,which,première date,opperetta,year,most,which year did he release his last operetta ?
3559,most,comparee,genre,which,genre,genre,genre,most,which genre is featured the most in this chart ?
3560,more,comparee,points,who,opponent,points,#,more,who scored more points in the second round of the uefa cup ?
3561,last,comparee,competition,what,competition/competition,competition,#,most,what is the last competition listed on the table ?
3562,last,comparee,competition,what,competition,competition,#,most,what was the last competition they took place in ?
3563,#,comparee,times,how many,#,times,#,least,how many times did they make it to the first round ?
3564,#,difference,score,what,place,score,6th place,nan,what is the score difference between 6th place and 2nd place ?
3565,#,difference,score,what,place,score,first place,least,what is the difference in score between first place and eighth place ?
3566,first,comparee,golfer,who,player,golfer,#,least,who is the first golfer not from the united states to finish in the top 10 ?
3567,first,comparee,passenger baseplate,what,design,passenger baseplate,design,least,what was the design of the first passenger baseplate for vehicle registration of vermont ?
3568,first,comparee,issued plates,what,design,issued plates,design,least,what was the design on the first issued plates ?
3569,last,comparee,#,what,first issued,#,year,most,in what year was the last design of passenger baseplates for vehicle registration issued in vermont ?
3570,last,comparee,vehicle registration plates of vermont,what,design,vehicle registration plates of vermont,design,most,what was the design on the last vehicle registration plates of vermont ?
3571,#,difference,total number of medals,what,nation,total number of medals,india,nan,what is the difference in total number of medals between india and nepal ?
3572,more,difference,gold medals,how many,nation,gold medals,nepal,more,how many more gold medals has nepal won than pakistan ?
3573,least,comparee,amount of gold medals,which,nation,amount of gold medals,nation,least,which nation has earned the least amount of gold medals ?
3574,first,comparee,country,#,nation,country,#,least,name the first country on the table ?
3575,least,comparee,amount of medals,what,nation,amount of medals,the nation with the most medals,least,what is the difference between the nation with the most medals and the nation with the least amount of medals ?
3576,most,comparee,bronze medals,who,nation,bronze medals,#,most,who has won the most bronze medals ?
3577,more,difference,silvers,how many,country,silvers,italy,more,how many more silvers did italy win compared to the united states ?
3578,more,difference,medals,how many,country,medals,italy,more,how many more medals did italy win than the soviet union ?
3579,first,index,pos,which,country,pos,american country,nan,which american country placed first ?
3580,first,comparee,place,which,country,place,country,least,which country comes in first place ?
3581,more,comparee,votes,who,party,votes,nationals sa,more,who got more votes? nationals sa or independent ?
3582,most,comparee,votes,which,party,votes,party,most,which party got the most votes ?
3583,least,comparee,votes,which,party,votes,party,least,which party received the least votes ?
3584,most,comparee,seats,which,party,seats,party,most,which party held the most seats but had a lesser turnout ?
3585,top,comparee,place,which,party,place,party,least,which party won the top place in the election ?
3586,highest,comparee,us modern rock,which,title,us modern rock,single,most,which single rated highest on the us mainstream rock chart ?
3587,first,comparee,single,what,title,single,#,least,what is the first single listed ?
3588,last,comparee,song,what,title,song,#,most,what is the last song listed on the table ?
3589,most,comparee,singles releases,which,album,singles releases,album,most,which album had the most singles releases ?
3590,more,index,games,did,site,games,alabama,more,did the 1990 southern miss golden eagles football team play more games in alabama or louisiana ?
3591,most,comparee,attendance,what,#,attendance,date,most,the game on what date had the most attendance ?
3592,highest,comparee,number of consecutive wins,what,#,number of consecutive wins,#,most,what is the highest number of consecutive wins by the 1990 southern miss golden eagles football team ?
3593,least,comparee,points,what,date,points,date,least,on what date did the eagles score the least points ?
3594,most,comparee,people in attendance,which,opponent,people in attendance,1990 southern miss golden eagles football game,most,which 1990 southern miss golden eagles football game had the most people in attendance ?
3595,first,index,game,did,#,game,golden eagles,least,did the golden eagles or delta state win the first game ?
3596,more,comparee,matches,which,team,matches,finland,more,"which team won more matches, finland or norway ?"
3597,better,comparee,points,which,team,points,switzerland,more,"which country performed better during the 1951 world ice hockey championships, switzerland or great britain ?"
3598,first and last,difference,points,what,team,points,first place,most,"during the 1951 world ice hockey championships, what was the difference between the first and last place teams for number of games won  ?"
3599,last,comparee,place,which,team,place,country's team,most,which country's team came in last place during the 1951 world ice hockey championships ?
3600,least,comparee,goals,which,team,goals,country,least,which country conceded the least goals ?
3601,most,comparee,years,what,year,years,#,most,what was the most years a show lasted ?
3602,first,comparee,tv series,what,show,tv series,#,least,what was the first tv series that gauri tejwani appeared in ?
3603,longest,comparee,amount of time,which,show,amount of time,television,most,which television show was gauri in for the longest amount of time ?
3604,most,comparee,position,which,award,position,award,most,which award did scrubs win the most of ?
3605,last,comparee,awared,what,award,awared,#,most,what was the last awared scrubs was nominated for ?
3606,last,comparee,nomination,what,year,nomination,year,most,in what year was the last nomination received ?
3607,younger,index,date of birth,which,name,date of birth,soané falafala,nan,"which player is younger, soané falafala or david smith ?"
3608,most,comparee,people,which,nationality,people,country,most,which country as the most people on average ?
3609,most,comparee,people,which,nationality,people,country,most,which country has the most people ?
3610,last,comparee,position,which,name,position,player,nan,which player was born last ?
3611,most,comparee,people in attendance,which,opponent,people in attendance,opponent,most,against which opponent were there the most people in attendance ?
3612,first,comparee,english translation,what,date,english translation,#,least,what is the first english translation listed on the table ?
3613,longer,difference,length,how much,#,length,the 20th tour de france stage,more,how much longer is the 20th tour de france stage than the 19th ?
3614,more,comparee,stage-winners,which,route,stage-winners,country,more,which country had more stage-winners than any other country ?
3615,more,index,strokes,was,tournament,strokes,tournament,more,when was the tournament with more strokes than the hertz bay hill classic ?
3616,most,comparee,tournaments,what,date,tournaments,month,most,what month were the most tournaments held in ?
3617,best,comparee,winning score,what,winning score,winning score,#,nan,what was the best winning score ?
3618,least,comparee,points,who,opponent,points,#,least,who scored the least points in the june 25 game ?
3619,highest,comparee,attendance,which,opponent,attendance,opponent,most,which opponent had the highest attendance after north carolina on june 21 ?
3620,most,comparee,attendance,which,#,attendance,game number,most,which game number had the most attendance ?
3621,least,comparee,amount of games,which,date,amount of games,month,least,which month were the least amount of games held in ?
3622,most,comparee,score,which,#,score,team,most,"in the 1975 stanley cup playoffs, which team scored the most in a single series against the buffalo sabres ?"
3623,last,comparee,playoff game,what,score,playoff game,score,most,what was the date of the last playoff game ?
3624,last,comparee,game,what,score,game,score,most,what was the score of the buffalo sabres in the last game ?
3625,first,comparee,game,what,date,game,date,least,what was the date of the first game that the black hawks lost in the playoffs ?
3626,most,comparee,games,what,location,games,location,most,what location had the most games ?
3627,most,comparee,people in attendance,which,date,people in attendance,date,most,which date had the most people in attendance ?
3628,largest,comparee,number of consecutive wins,what,#,number of consecutive wins,#,most,what was the largest number of consecutive wins ?
3629,most,comparee,consecutive times,#,#,consecutive times,#,most,what's the most consecutive times croatia has qualified ?
3630,most,comparee,matches,which,year,matches,1998,most,"which year had the most matches, 1998 or 2002 ?"
3631,most,comparee,naturalization by marriage,which,year,naturalization by marriage,year,most,which year saw the most naturalization by marriage ?
3632,most,comparee,gain british citizenship,which,#,gain british citizenship,manner,most,most gain british citizenship in which manner ?
3633,least,comparee,amount of jamaicans granted british citizenship,which,year,amount of jamaicans granted british citizenship,year,least,in which year were the least amount of jamaicans granted british citizenship ?
3634,#,difference,medals,what,nation,medals,cuba,nan,what is the difference in medals between cuba and mexico ?
3635,more,comparee,silvers,who,nation,silvers,colmbia,more,who had more silvers? colmbia or the bahamas
3636,largest,difference,medal,#,nation,medal,#,most,largest medal differential between countries
3637,most,comparee,#,which,name,#,city,most,which city has the most density ?
3638,least,comparee,people at the 2002 census,which,name,people at the 2002 census,city,least,which city had the least people at the 2002 census ?
3639,least,comparee,amount of area,which,name,amount of area,locality,least,which locality has the least amount of area according to this chart ?
3640,best,comparee,year,what,year,year,year,nan,what year was the best year end ranking in ?
3641,better,comparee,regular season finish,which,year,regular season finish,2006,more,"which year had a better regular season finish, 2006 or 2012 ?"
3642,more,comparee,#,what,year,#,2012,more,"what year was more successful, 2012 or 2007 ?"
3643,#,comparee,#,what,#,#,#,more,what is the number of times the lions have placed 5th or better in the regular season ?
3644,greatest,comparee,amount of consecutive years,what,#,amount of consecutive years,#,most,what is the greatest amount of consecutive years that the lions did not qualify for playoffs ?
3645,first,comparee,year,when,year,year,#,least,when was the first year the team qualified for the playoffs ?
3646,least,comparee,position,which,player,position,player,nan,which player lost the least ?
3647,highest,comparee,number of legs,who,player,number of legs,#,most,who won the highest number of legs in the 2009 world matchplay ?
3648,more,index,years,was,url,years,russia's url,more,was russia's url open for more years than singapore's url ?
3649,earliest,comparee,opening date,which,country,opening date,country,least,which country had the earliest opening date ?
3650,first,comparee,#,which,#,#,a closing date for australia,nan,which happened first: a closing date for australia or or an opening date for russia ?
3651,most,comparee,land area,which,township,land area,township,most,which township has the most land area ?
3652,least,comparee,population,which,township,population,township,least,which township has the least in population ?
3653,least,comparee,#,which,township,#,township,least,which township has the least population density ?
3654,greatest,comparee,population total,which,township,population total,township,most,which township has the greatest population total ?
3655,largest,comparee,#,#,township,#,#,most,the town with the largest population desnsity
3656,greater,difference,height of cable over ground,how much,tramway,height of cable over ground,peak 2 peak gondola,nan,how much greater is the height of cable over ground measurement for the peak 2 peak gondola when compared with that of the vanoise express ?
3657,first,index,inaugurated,which,tramway,inaugurated,the 3s aerial tramway,nan,"which tramway was inaugurated first, the 3s aerial tramway or the aiguille du midi ?"
3658,more,index,points,who,player,points,takaji mori,more,who had more points takaji mori or junji kawano ?
3659,more,difference,total appearances,how many,player,total appearances,shigeo yaegashi,more,how many more total appearances did shigeo yaegashi have than mitsuo kamata ?
3660,least,comparee,players,which,nationality,players,nationality,least,which nationality has the least players ?
3661,first,comparee,player,who,player,player,#,least,who was the first player that the oilers picked ?
3662,top,comparee,team,what,team,team,#,least,what was the top team ?
3663,last,comparee,pos,what,driver,pos,driver,nan,what driver placed last ?
3664,first,comparee,team,what,team,team,#,least,what is the name of the first team on this chart ?
3665,least,comparee,amount of points,which,driver,amount of points,driver,least,which driver scored the least amount of points ?
3666,last,comparee,movie,what,film,movie,#,most,what was the last movie that kajal aggarwal won an award for ?
3667,first,comparee,role kajal played,what,role,role kajal played,#,least,what was the first role kajal played ?
3668,top,comparee,team,what,team,team,#,least,what was the top team according to position in table called ?
3669,most,comparee,#,which,outgoing manager 	,#,new manager,most,which new manager was purchased for the most money in the 2007-08 premier league season ?
3670,last,comparee,position,which,outgoing manager 	,position,outgoing manager,nan,which outgoing manager was appointed the last ?
3671,longer,comparee,#,who,name,#,evelyn irons,more,who lived longer evelyn irons or arturo islas ?
3672,same,comparee,country,which,name,country,"lesbian, or bisexual famous person with a last name from i-j",equal,"which gay, lesbian, or bisexual famous person with a last name from i-j is from the same country as maja ivarsson ?"
3673,longest,comparee,living lesbian,who,name,living lesbian,#,most,who is the longest living lesbian on the list ?
3674,first,comparee,person born,who,name,person born,#,least,who was the first person born ?
3675,first,comparee,die,who,name,die,#,least,who was the first to die after elisabeth irwin ?
3676,last,comparee,living gay,who,notes,living gay,lesbian,most,"who is the oldest living gay, lesbian, or bisexual famous person with a last name from i-j ?"
3677,#,difference,years,what,constiuency,years,1,nan,what is the difference in years between constiuency 1 and 2 ?
3678,last,comparee,region,what,region,region,#,most,what is the last region listed on the table ?
3679,first,comparee,name,what,name,name,#,least,what is the first name on the table ?
3680,#,index,last elected,was,last elected,last elected,#,most,when was antonio horvath kiss last elected ?
3681,more,index,contestants,are,#,contestants,california,more,are there more contestants from california or new york on cha$e ?
3682,top,comparee,prize winner,who,name,prize winner,#,least,who was the top prize winner in cha$e ?
3683,youngest,comparee,female,who,name,female,#,least,"who is the youngest female, but not the youngest overall on the show cha$e ?"
3684,larger,index,size in steps,which,interval name,size in steps,tridecimal major third,nan,"which has a larger size in steps, a tridecimal major third or a tridecimal neutral third ?"
3685,#,difference,size (cents),what,interval name,size (cents),tridecimal major third,nan,"what is the difference in size (cents) for tridecimal major third and whole tone, minor tone ?"
3686,greater,comparee,size (cents),what,interval name,size (cents),#,nan,what is each interval name with a size (cents) greater than 500 ?
3687,most,comparee,justs,which,interval name,justs,interval,most,which interval has the most justs ?
3688,#,comparee,just (cents),what,just (cents),just (cents),#,less,what is the highest just (cents) for an interval with a size (cents) less than 500 ?
3689,more,comparee,position,who,continent,position,europe,more,"who hosted more often, europe or asia ?"
3690,most,comparee,prize money,which,tournament,prize money,tournament,most,which tournament offered the most prize money ?
3691,last,comparee,one,which,tournament,one,tournament,most,which tournament is the last one of the year ?
3692,highest,comparee,scores,which,date,scores,dates,most,on which dates were the highest scores ?
3693,most,comparee,wins,which,opponent,wins,opponent team,most,which opponent team had the most wins ?
3694,least,comparee,number of games,which,opponent,number of games,team,least,which team played the least number of games ?
3695,last,comparee,place,who,opponent,place,#,most,"if all the teams were placed in order of number of wins to least number of wins, who would be in last place ?"
3696,least,comparee,amount of competitions,which,date,amount of competitions,month,least,which month held the least amount of competitions ?
3697,highest,comparee,amount of penalty points,what,athlete,amount of penalty points,#,most,what was the highest amount of penalty points ?
3698,fastest,comparee,ski time,who,athlete,ski time,#,nan,who had the fastest ski time ?
3699,top,comparee,time for japan,who,athlete,time for japan,#,least,who received the top time for japan ?
3700,top,comparee,transfer,which,from,transfer,team,least,which team had the top transfer come in ?
3701,most,comparee,transfer fee,which,player,transfer fee,player,most,which player paid the most in transfer fees ?
3702,first,comparee,player,who,player,player,#,least,who was the first player whose transfer fee exceeded 8 million euros ?
3703,highest,comparee,transfer fee,which,player,transfer fee,incoming player,most,which incoming player had the highest transfer fee ?
3704,least,comparee,final points,which,rider,final points,rider,least,which rider who was not from the united kingdom had the least final points ?
3705,least,comparee,number of points,whom,rider,number of points,#,least,the least number of points belongs to whom ?
3706,most,comparee,riders,which,#,riders,country,most,which country had the most riders ?
3707,least,comparee,total points,which,rider,total points,rider,least,which rider from the uk the least amount of total points ?
3708,most,comparee,total points,which,rider,total points,rider,most,which rider from the united kingdom had the most total points ?
3709,last,comparee,title,which,title,title,#,most,which was damons' last title to be the executive producer on ?
3710,most,comparee,titles,what,year,titles,year,most,what year were the most titles produced ?
3711,most,comparee,awards,which,title,awards,damons' titles,most,which of damons' titles won the most awards ?
3712,most,comparee,role,what,role,role,role,most,what role did damon play most throughout his career ?
3713,first,comparee,laureates,who,laureate,laureates,#,least,who was the first laureate in physiology or medicine ?
3714,first,comparee,nobel laureates,#,laureate,nobel laureates,#,least,name of the first nobel laureates from penn.
3715,#,difference,meters,what,year,meters,2004,nan,what's the difference in meters between the 2004 and 2009 competitions ?
3716,first,difference,position,how many,#,position,times,least,how many times did wu tao came in first position ?
3717,#,comparee,#,what,year,#,two year,least,in what two years did wu tao win consecutively in first position ?
3718,highest,comparee,meters,which,competition,meters,competition,most,which competition has the highest meters listed ?
3719,more,index,friendly' competitions,did,opponent,friendly' competitions,mexico,more,"according to this table, did mexico or italy have more 'friendly' competitions against spain ?"
3720,largest,comparee,amount of events,which,venue,amount of events,venue,most,which venue hosted the largest amount of events within this table ?
3721,most,comparee,number of points,what,score,number of points,#,most,what was the most number of points scored in a game ?
3722,first,comparee,letter,#,artist,letter,#,least,the artist with the first letter k
3723,most,comparee,televotes,who,artist,televotes,#,most,who had the most televotes on the eurovision song contest 2008 ?
3724,first,comparee,eurovision song contest 2008 song,what,song,eurovision song contest 2008 song,#,least,what was the first place eurovision song contest 2008 song ?
3725,more,index,total votes,did,month,total votes,february 2012,more,did february 2012 or july 2006 have more total votes ?
3726,more,difference,55 favor votes,how many,month,55 favor votes,months,more,how many months had more than 55 favor votes ?
3727,same,index,number of in favor votes,did,polling firm,number of in favor votes,quinnipiac,equal,did the polling firm quinnipiac have the same number of in favor votes as rutgers-eagleton in march a year apart ?
3728,most,comparee,competition,which,year,competition,year,most,which year held the most competitions ?
3729,best,comparee,#,what,notes,#,#,most,what was mayer's best result: i.e his longest throw ?
3730,highest,comparee,place,what,position,place,#,most,"prior to 2007, what was the highest place achieved ?"
3731,last,comparee,competition,what,competition,competition,#,most,what was the last competition he was in before the 2012 olympics ?
3732,last,comparee,single,what,title,single,#,most,what was the last single to be on the nz charts ?
3733,highest,comparee,peak position,which,title,peak position,track,most,which track had the highest peak position ?
3734,last,comparee,single,what,title,single,#,most,what was the last single released by the triffids ?
3735,most,comparee,favorable position,what,title,favorable position,title,most,what title received the most favorable position on the aus chart ?
3736,larger,comparee,amount of points,which,driver,amount of points,driver,nan,"between 2009 and 2010, which driver had the larger amount of points ?"
3737,most,index,points,did,driver,points,willemsen,most,did willemsen or stelle finish with the most points in the 2001-2013 driving season ?
3738,greatest,comparee,number of wins,what,winnings,number of wins,#,most,what was his greatest number of wins in a year ?
3739,#,difference,year,what,year,year,his greatest amount of yearly winnings,most,what is the difference between his greatest amount of yearly winnings and his least ?
3740,#,comparee,#,what,year,#,#,least,what is the first year steve grissom had a top 5 finish in the nation wide series ?
3741,greatest,comparee,number of years,what,year,number of years,#,most,what was the greatest number of years that grissom racing enterprises had consecutive wins ?
3742,#,difference,winnings,what,winnings,winnings,the greatest winnings,least,what is the difference between the greatest winnings and the least winnings ?
3743,longer,comparee,piero i de'medici,how many,name,piero i de'medici,head of medici,more,how many people were head of the medici longer than piero i de'medici ?
3744,first,comparee,head of medici,who,name,head of medici,#,least,who was the first head of medici ?
3745,last,comparee,head of medici,who,name,head of medici,#,most,who was the last head of the medici ?
3746,most,comparee,years,who,name,years,head of medici,most,who was the head of the medici for the most years ?
3747,last,comparee,head of medici,who,name,head of medici,#,most,who was the last head of medici ?
3748,more or less,comparee,attendees at capacity,#,stadium,attendees at capacity,holm park,less,"compared to the oval, holm park holds more or less attendees at capacity ?"
3749,#,comparee,the stadium capacity,what,stadium,the stadium capacity,taylor's avenue,nan,what is the difference between the stadium capacity at taylor's avenue and the stadium capacity at dixon park ?
3750,most,comparee,hold the most people,which,city,hold the most people,city,most,which city has the stadium that can hold the most people ?
3751,largest,comparee,number of seats,which,stadium,number of seats,stadium,most,which stadium has the largest number of seats ?
3752,more,index,#,is,model,#,vista,more,is the vista more than the aspect ?
3753,highest,comparee,#,which,model,#,model,most,which model is at the top of the list with the highest starting price ?
3754,#,comparee,name,what,model,name,#,least,what is the name of the top priced winnebago model ?
3755,highest,comparee,starting price,which,model,starting price,model,most,which model had the highest starting price
3756,longest,difference,session,how long,#,session,#,most,how long was the longest ot session ?
3757,highest,comparee,score,which,visitor,score,team,most,which team had the highest score during one game ?
3758,#,difference,height,what,player,height,garreth lodge,nan,what is the difference in height between garreth lodge and thomas pearson ?
3759,most,comparee,players,what,current club,players,club,most,what club has the most players ?
3760,tallest,comparee,player,who,player,player,#,most,who is the tallest player on the chart ?
3761,shortest,comparee,player,who,player,player,#,least,who is the shortest player on the current roster ?
3762,more,comparee,#,#,pos.,#,the only position,more,the only position that san diego drafted more than one of.
3763,#,comparee,#,which,nfl team,#,team,least,which team had the first pick ?
3764,first,comparee,position,who,player,position,#,nan,who did the green bay packers and chicago bears pick first ?
3765,first,comparee,player,which,nfl team,player,nfl team,least,which nfl team picked the first player
3766,#,comparee,player,#,college,player,#,least,list each big 12 school with a player drafted in the first round.
3767,first,comparee,player,who,player,player,#,least,who is the first detroit lions pick not from the pac-10 ?
3768,#,comparee,#,what,#,#,#,least,what is the total number of pics from the big east in the first two rounds ?
3769,last,comparee,public middle school,what,school name,public middle school,#,most,what was the last public middle school founded in hawaii ?
3770,most,comparee,establishment,which,school name,establishment,public middle school,most,which public middle school in hawaii was established most closely after washington middle school ?
3771,first,comparee,school name,which,school name,school name,school,nan,which school was established first ?
3772,first,comparee,public middle school,what,school name,public middle school,#,least,what was the first public middle school established in hawaii ?
3773,last,comparee,school,what,establishment,school,year,most,what year was the last school established ?
3774,more,comparee,scored,who,team 1,scored,portugalete,nan,"who scored more, portugalete or valencia ?"
3775,top,comparee,scorer,which,team 1,scorer,team,least,which team was the top scorer in the 1st leg ?
3776,#,comparee,population,what,city,population,ovada,nan,what is the difference between the population of ovada and the population of serravalle scrivia ?
3777,smallest,comparee,area,which,city,area,city,least,which city has the smallest area ?
3778,least,comparee,#,which,city,#,city,least,which city has the least density ?
3779,least,comparee,number of inhabitants,which,city,number of inhabitants,commune,least,which commune has the least number of inhabitants ?
3780,most,comparee,#,which,city,#,city,most,which city is the most densely populated ?
