,index,table_title,table_context,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
3296,#,Genesee County B League,High School High School,difference,year,what,high school,year,clio,nan,what is the difference between the year clio left and atherton left ?
3297,last,Genesee County B League,High School Join\nYear From Left league left to,comparee,school,what,country,school,#,most,what was the last school to join the genesee county b league ?
3298,last,1950–51 in Scottish football,Opponents,comparee,opponent,what,opponents,opponent,#,most,what was the last opponent played in 1950 ?
3299,#,1950–51 in Scottish football,Date Venue Opponents Score Competition Scotland scorer(s),comparee,#,which,country,#,#,least,scotland played their first match of the 1951 british home championship against which team ?
3300,larger,Niobium,LOCATION Country Country,index,quantity of niobium mineral production,which,country,quantity of niobium mineral production,nigeria,nan,"according to usgs estimates of mine production, which nation in 2005 produced a larger quantity of niobium mineral production, nigeria or rwanda ?"
3301,less,Niobium,DATE 2000,index,tons,did,#,tons,2000,less,"in 2000, did world mine production according to usgs estimates produce more tons or less tons of output of niobium minerals than in 2002, when a total of 29,900 tons was estimated to have been mined ?"
3302,most,Niobium,Country,comparee,niobium,which,country,niobium,country,most,after brazil which country produced the most niobium ?
3303,top,Niobium,Country,comparee,producer of niobium,what,country,producer of niobium,country,least,what country was the top producer of niobium in the year 2003 ?
3304,more,Fungal prion,DURATION|O DATE DATE DATE Year Identified Year Identified Year Identified Year Identified,index,proteins,what,year identified,proteins,2008,more,what yea had more proteins 2008 or 1997 ?
3305,first,Fungal prion,DURATION|O Year Identified,comparee,prion,what,year identified,prion,year,least,what year was the first prion characterized ?
3306,first,"SIPRI Arms Transfers Database, Iraq 1973–1990",Country,comparee,country,which,country,country,#,least,which was the first country to sell weapons to iraq ?
3307,largest,"SIPRI Arms Transfers Database, Iraq 1973–1990",Country,comparee,number of towed guns,which,country,number of towed guns,country,most,which country had the largest number of towed guns delivered ?
3308,last,Sailing at the 2008 Summer Olympics – Qualification,Nation,comparee,nation,which,nation,nation,nation,most,which nation came in last in the 2007 worlds qualification tournament ?
3309,first,Sailing at the 2008 Summer Olympics – Qualification,# Nation,comparee,place,who,nation,place,#,least,who came in first place during the 2007 worlds qualification tournament ?
3310,first,Bend Or,Date,comparee,race,what,date,race,year,least,in what year did bend or win his first race ?
3311,#,Bend Or,Place,index,#,how many,place,#,#,least,how many times was first place won ?
3312,least,Bend Or,Race name,comparee,amount of time to finish,which,race name,amount of time to finish,race,least,which race in 1880 took the least amount of time to finish ?
3313,more,Psikyo,DATE DATE Release Release Release,difference,games,how many,release,games,2005,more,how many more games were released in 2005 than 2003 ?
3314,first,Psikyo,Title,comparee,non volume game,what,title,non volume game,#,least,what was the first non volume game released in 2004 ?
3315,most,Psikyo,Release,comparee,game release,which,release,game release,year,most,which year had the most game releases ?
3316,highest,2010 Chinese Super League,Club,comparee,average attendees,which,club,average attendees,club,most,which club had the highest average attendance ?
3317,least,2010 Chinese Super League,Home stadium,comparee,number of average attendees,which,home stadium,number of average attendees,stadium,least,which stadium has the least number of average attendees ?
3318,more or less,List of Lego video games,Title Title,index,systems,is,title,systems,bionicle heroes,nan,is bionicle heroes available on more/less systems than lego chess ?
3319,more,List of Lego video games,Title Title,difference,consoles,how many,title,consoles,bionicle heroes,more,how many more consoles can bionicle heroes be played on than bionicle: the game ?
3320,last,List of Lego video games,Title,comparee,game,what,title,game,#,most,what was the last released game for game boy advance ?
3321,first,List of Lego video games,Title,comparee,game,what,title,game,#,least,what was the first game released ?
3322,highest,List of airlines of Russia,AIRLINE,comparee,license #,which,airline,license #,airline,most,which airline has the highest license #
3323,top,List of airlines of Russia,DOMESTIC CODE,comparee,domestic code,what,domestic code,domestic code,domestic code,least,what is the domestic code at the top of the list ?
3324,more,Alabama Crimson Tide baseball,DURATION PERSON|PERSON|PERSON Coach Years Coach,difference,years,how many,coach,years,d. v. graves,more,how many more years did d. v. graves serve compared to j. f. jenkins ?
3325,most,Alabama Crimson Tide baseball,DURATION Coach Years,comparee,years,which,coach,years,coach,most,which coach had the most years as a coach ?
3326,more,Asian Youth Volleyball Championship,LOCATION Nation Nation,comparee,total medals,who,nation,total medals,japan,more,who won more total medals? japan or china ?
3327,#,Asian Youth Volleyball Championship,LOCATION Nation Nation,difference,silvers medals,what,nation,silvers medals,china,nan,what is the difference in silver medals between china and chinese taipei ?
3328,most,Asian Youth Volleyball Championship,Nation,comparee,medals,which,nation,medals,country,most,which country won the most medals ?
3329,most,Asian Youth Volleyball Championship,LOCATION Nation Nation,comparee,bronze medals,which,nation,bronze medals,thailand,most,"which nation earned the most bronze medals, thailand or south korea ?"
3330,most,Asian Youth Volleyball Championship,Nation,comparee,gold medals,who,nation,gold medals,won,most,who won the most gold medals ?
3331,least,Asian Youth Volleyball Championship,Nation,comparee,medals,which,nation,medals,country,least,which country won the least medals ?
3332,least,Asian Youth Volleyball Championship,Nation,comparee,number of medals,which,nation,number of medals,country,least,which country won the least number of medals ?
3333,last,Smile! (Vitas album),MISC|O English title,comparee,track,what,english title,track,#,most,what is the last track on the album smile!  ?
3334,largest,Smile! (Vitas album),Music,comparee,amount of tracks,which,music,amount of tracks,lyricist,most,which lyricist has the largest amount of tracks ?
3335,first,Smile! (Vitas album),MISC|O English title,comparee,track,what,english title,track,song title,least,what is the song title of the first track on the album smile!  ?
3336,higher,English American,PERSON PERSON Name Number Name England - 2001,comparee,number,which,name,number,smith,more,which name had a higher number? smith or johnson ?
3337,highest,English American,Name Number,comparee,number,which,name,number,name,most,which name had the highest number ?
3338,#,English American,Name Rank - 2000 Number Country of Origin England - 2001,comparee,#,what,#,#,#,most,what is the number of last names listed that have an english origin ?
3339,most,English American,Name,comparee,name,what,name,name,english american name,most,what is the english american name that the most people have ?
3340,first,List of federal judges appointed by Ronald Reagan,Judge,comparee,judge,which,judge,judge,judge,nan,"which judge began active service first, wayne edward alley or james henry alesia ?"
3341,top,The Boys (comics),Title,comparee,title,what,title,title,title,least,what title is at the top of the table ?
3342,top,The Boys (comics),Title,comparee,title,which,title,title,collection,least,which collection made the top of the list ?
3343,first,The Boys (comics),Title,comparee,title,what,title,title,name,least,what was the name of the first title released ?
3344,#,The Boys (comics),Title,comparee,title,which,title,title,collection,most,which collection was the most collectable ?
3345,largest,Brazil at the FIFA World Cup,NUMBER Score,comparee,victory,#,score,victory,#,most,largest victory
3346,most,Brazil at the FIFA World Cup,NUMBER Score,comparee,goals,#,score,goals,#,most,the most goals scored in a game
3347,higher or lower,List of spiral galaxies,Designation Apparent Magnitude Designation,index,apparent magnitude,does,designation,apparent magnitude,m90,more,does m90 have a higher or lower apparent magnitude than m63 ?
3348,#,List of spiral galaxies,Designation Apparent Magnitude,difference,apparent magnitude,what,designation,apparent magnitude,m31,nan,what is the difference in apparent magnitude between m31 and m33 ?
3349,last,List of spiral galaxies,Constellation,comparee,constellation,what,constellation,constellation,#,most,what is the last constellation featured on this table ?
3350,last,List of spiral galaxies,Constellation,comparee,constellation,what,constellation,constellation,constellation,most,what constellation appears last on this table ?
3351,larger,List of towns in the Faroe Islands,Town/Village Population,comparee,population,where,town/village,population,#,nan,where is there a population larger than klaksvik ?
3352,#,List of towns in the Faroe Islands,PERSON Town/Village Town/Village,difference,population size,what,town/village,population size,akrar,nan,what is the population size difference between akrar and dalur ?
3353,highest,List of towns in the Faroe Islands,Town/Village,comparee,number of people,which,town/village,number of people,#,most,which town/village has the highest number of people ?
3354,first,List of towns in the Faroe Islands,Town/Village,comparee,#,which,town/village,#,town,least,"which town would come first in alphabetical order, of all the towns in the faroe islands ?"
3355,last,WEW World Tag Team Championship,Date:,comparee,date,what,date:,date,#,most,what is the last date listed ?
3356,first,WEW World Tag Team Championship,Wrestlers:,comparee,champions,who,wrestlers:,champions,#,least,who were the first champions ?
3357,most,WEW World Tag Team Championship,Wrestlers: Times: Date: Location: Notes:,comparee,location,which,location,location,location,most,which location was used the most often ?
3358,first,WEW World Tag Team Championship,Wrestlers:,comparee,person,who,wrestlers:,person,#,least,who was the first person to hold the titles with three different partners ?
3359,higher,Super Aces,Hand Hand,index,standing,which,hand,standing,straight,more,which is a higher standing hand: a straight or a flush ?
3360,#,Super Aces,Hand,difference,payout on 3 credits,what,#,payout on 3 credits,straight flush,nan,"what is the difference of payout on 3 credits, between a straight flush and royal flush ?"
3361,more or less,Super Aces,Hand,index,#,is,hand,#,four 5s,less,is four 5s worth more or less than four 2s ?
3362,best,Super Aces,Hand 1 credit 2 credits 3 credits 4 credits 5 credits,comparee,type of four of a kind,#,#,type of four of a kind,#,nan,what's the best type of four of a kind to win ?
3363,top,Super Aces,Hand,comparee,hand,which,hand,hand,hand,least,which hand is the top hand in the card game super aces ?
3364,same,Super Aces,Hand,index,#,is,hand,#,2 credit full house,equal,is a 2 credit full house the same as a 5 credit three of a kind ?
3365,first,United States Court of Appeals for the Fifth Circuit,# Judge,comparee,judge,who,judge,judge,#,least,who was the first judge from florida to serve the position ?
3366,last,United States Court of Appeals for the Fifth Circuit,Judge,comparee,judge,which,judge,judge,judge,most,which judge was last appointed by president truman ?
3367,first,United States Court of Appeals for the Fifth Circuit,# Judge,comparee,judge,who,judge,judge,#,least,who was the first judge appointed from georgia ?
3368,largest,United States Court of Appeals for the Fifth Circuit,State,comparee,amount of judges to serve,which,state,amount of judges to serve,state,most,which state has the largest amount of judges to serve ?
3369,last,Communist Party of India,State,comparee,state,what,state,state,#,most,what is the last state in the table ?
3370,first,Communist Party of India,State,comparee,state,what,state,state,#,least,what is the first state after delhi ?
3371,top,Communist Party of India,State,comparee,state,what,state,state,#,least,what is the top state in the table ?
3372,highest,2001 Japan Football League,Team Total,comparee,total,#,team,total,#,most,list the top 5 teams within highest total.
3373,highest,2001 Japan Football League,Team,comparee,single game attendance,who,team,single game attendance,#,less,who had the highest single game attendance of the team's averaging less than 500 ?
3374,lowest,2001 Japan Football League,Team,comparee,single game attendance,who,team,single game attendance,#,nan,who had the the lowest single game attendance ?
3375,most,2001 Japan Football League,Total,comparee,fans,what,total,fans,number,most,what number represents the most fans to attend a japanese football league game in 2001 ?
3376,first,2001 Japan Football League,Team,comparee,team,#,team,team,#,least,the team to finish first after denso sc
3377,last,2001 Japan Football League,Team,comparee,attendance,which,team,attendance,team,most,which team comes last in attendance ?
3378,most,List of states in the Holy Roman Empire (S),Name Bench,comparee,name,which,name,name,bench,nan,which bench is represented the most ?
3379,more,Historical brightest stars,Star,index,current magnitude,is,star,current magnitude,capella's,more,is capella's current magnitude more than vega's current magnitude ?
3380,#,Historical brightest stars,Star Start\nyear End\nyear Maximum\nyear Maximum\nmagnitude Distance at\nmaximum (LY) Current\ndistance Current\nmagnitude,difference,current distance,what,current distance,current distance,the nearest current distance,most,what is the difference in the nearest current distance and farthest current distance ?
3381,highest,Historical brightest stars,Star,comparee,distance at maximum,which,star,distance at maximum,star,most,which star has the highest distance at maximum ?
3382,least,Commissioner of Food and Drugs,Name,comparee,amount of time,who,name,amount of time,#,least,who was in office for the least amount of time ?
3383,most,Commissioner of Food and Drugs,Name,comparee,amount of time,who,name,amount of time,#,most,who was in office for the most amount of time ?
3384,first,Commissioner of Food and Drugs,Name,comparee,commissioner of food and drug,who,name,commissioner of food and drug,#,least,"who was the first commissioner of food and drug, appointed in january 1907 ?"
3385,first,Pan-democracy camp,Election,comparee,popular vote,which,election,popular vote,election,least,which election was the first to reach over 40% of the popular vote ?
3386,highest,Pan-democracy camp,DATE Election Election,index,percentage of popular votes,which,election,percentage of popular votes,2003,most,which election had the highest percentage of popular votes - 2003 or 2007 ?
3387,last,Pan-democracy camp,Election,comparee,election,what,election,election,#,most,what was the last election to have under 35% of the popular votes ?
3388,first,Shiratsuyu-class destroyer,Ship,comparee,ship,was,ship,ship,#,least,when was the first ship laid down ?
3389,last,Shiratsuyu-class destroyer,Ship,comparee,ship,was,ship,ship,#,most,when was the last ship laid down ?
3390,most,Shiratsuyu-class destroyer,Shipyard,comparee,shipyard,which,shipyard,shipyard,shipyard,nan,which shipyard was used the most ?
3391,most,Shiratsuyu-class destroyer,Completed,comparee,ships,which,completed,ships,year,most,during which year were the most ships completed ?
3392,#,1981 PGA Championship,NUMBER Player Score Player,difference,score,what,player,score,fuzzy zoeller,nan,what was the difference in score between fuzzy zoeller and larry nelson ?
3393,first,1981 PGA Championship,Player,comparee,round score,what,player,round score,#,least,what was dan pohl's first round score ?
3394,most,1981 PGA Championship,Player,comparee,money,who,player,money,won,most,who won the most money ?
3395,most,1981 PGA Championship,Player,comparee,money,what,player,money,golfer,most,what golfer received the most money in the 1981 pga championship ?
3396,highest,1981 PGA Championship,Player,comparee,single round,who,player,single round,shot,most,who shot the highest single round ?
3397,first,1981 PGA Championship,Place Player,comparee,place,which,player,place,player,least,which player came in first place ?
3398,top,25 metre pistol,Gold,comparee,#,#,gold,#,#,least,"name one of the top three women to earn gold at the 1970 world championship held in phoenix, az"
3399,first,25 metre pistol,Place,comparee,place,what,place,place,#,least,what is the first place listed in this chart ?
3400,most,25 metre pistol,Place,comparee,place,which,place,place,country,most,which country is listed the most under the silver column ?
3401,first,25 metre pistol,Year Place Gold Silver Bronze,comparee,#,how many,#,#,#,least,how many world championships had the soviet union won first place in in the 25 metre pistol women's world championship ?
3402,first,Ádám Szalai,Date,comparee,international goal,what,date,international goal,year,least,in what year was szalai's first international goal ?
3403,first,Ádám Szalai,Date,comparee,international goal,when,date,international goal,#,least,when did ádám szalai make his first international goal ?
3404,#,List of monasteries dissolved by Henry VIII of England,DURATION|O LOCATION|LOCATION Name Year dissolved Name,difference,year dissolved,what's,name,year dissolved,abingdon abbey,nan,what's the difference in year dissolved between abingdon abbey and bardsey abbey ?
3405,same,List of monasteries dissolved by Henry VIII of England,Name Order Name,index,order,is,name,order,bardney abbey,equal,is the order of bardney abbey the same as abingdon abbey ?
3406,last,Super Chinese,Release,comparee,super chinese game,was,release,super chinese game,#,most,when was the last super chinese game released ?
3407,least,Super Chinese,MISC|O Japanese Title,comparee,releases,which,japanese title,releases,#,least,"of the titles released in north america, which had the least releases ?"
3408,first,Super Chinese,Release,comparee,year,was,release,year,#,least,the first year a game was released in north america
3409,most,Super Chinese,Japanese Title Western Title Regions Release Platform(s) Genre,comparee,titles,which,"platform(s)
	",titles,platforms,most,which platforms had the most titles released ?
3410,first,List of Major League Baseball home run records,Player,comparee,major league hitter,who,player,major league hitter,#,least,who is the first major league hitter to hit two grand slams in one game ?
3411,last,List of Major League Baseball home run records,Player,comparee,person,what,player,person,name,most,what was the name of the last person to accomplish this up to date ?
3412,more,1997 World Taekwondo Championships,Bronze,difference,#,how many,bronze,#,bronze medals,more,how many more bronze medals were awarded than silver ?
3413,most,1997 World Taekwondo Championships,Nation,comparee,medals without a gold medal,which,nation,medals without a gold medal,team,most,which team had the most medals without a gold medal ?
3414,#,1997 World Taekwondo Championships,Nation,difference,total medals,what,nation,total medals,the countries with the most,least,what is the numerical difference of total medals between the countries with the most and least amount of medals ?
3415,top,1997 World Taekwondo Championships,Nation,comparee,number of bronze awards,who,nation,number of bronze awards,#,least,who had the top number of bronze awards ?
3416,#,Cunard Line,Ship Ship Ship,difference,media,what,ship,media,queen mary,nan,what is the difference in the tonage between the queen mary and media ?
3417,least,Cunard Line,Ship,comparee,years in service for cunard,which,ship,years in service for cunard,ship,least,which ship has the least years in service for cunard ?
3418,last,Cunard Line,Ship,comparee,ship,what,ship,ship,#,most,according to the chart what was the last ship built ?
3419,most,Cunard Line,Ship Tonnage,index,tonnage,whom,ship,tonnage,ship,most,the ship with the most tonnage is named after whom ?
3420,last,Cunard Line,Built,index,intermediate ship,was,built,intermediate ship,year,most,the year the last intermediate ship was built.
3421,last,Cunard Line,Ship Built,comparee,ship,what,built,ship,date,most,what is the date that the last ship was built ?
3422,first,Cunard Line,Ship,comparee,employed as a world war ii troopship,which,ship,employed as a world war ii troopship,ship,least,which ship was first employed as a world war ii troopship ?
3423,earlier,Easyworld,Single/EP Release date,index,release date,which,single/ep,release date,"""til the day""",less,"which has the earlier release date, ""till the day"" or ""2nd amendment"" ?"
3424,#,Easyworld,Single/EP Single/EP,difference,chart position,what,single/ep,chart position,"""bleach""",nan,"what is the difference in chart position between ""bleach"" and ""you & me"" ?"
3425,better,Easyworld,Single/EP,comparee,the uk singles chart,which,single/ep,the uk singles chart,"""til the day""",more,"which song did better on the uk singles chart, ""til the day"" or ""bleach"" ?"
3426,most,Easyworld,Format(s),comparee,format(s),which,format(s),format(s),format,most,which format was used the most according to this chart ?
3427,first,Easyworld,Release date,comparee,#,what,release date,#,#,least,what was the release date of the first single ?
3428,most,Easyworld,Label,comparee,label,what,label,label,label,nan,what label was appears the most ?
3429,last,Mauli Dave,Year Show Role Channel Extra,comparee,#,what,#,#,#,most,"what was the name of the last television show between 2004 and february, 2013 in which mauli dave played herself ?"
3430,last,Mauli Dave,Show,comparee,to air,which,show,to air,show,most,which show was the last to air ?
3431,least,United States at the Olympics,Games,comparee,amount of events,which,games,amount of events,games,least,which games featured the least amount of events ?
3432,most,United States at the Olympics,Games Participants,comparee,participants,which,games,participants,olympics,most,which olympics had the most participants ?
3433,most,Tourism in Brazil,Selected\nLatin American\ncountries Internl.\ntourism\narrivals\n2010\n(x 1000) Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000) Average\nreceipt\nper visitor\n2009\n(USD/turista) Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007 Receipts\nper\ncapita \n2005\nUSD Revenues\nas %\nexports of\ngoods and\nservices\n2003 Tourism\nincome\n %\nGDP\n2003 % Direct and\nindirect\nemployment\nin tourism\n2005 World\nranking\nTourism\nCompetitiv.\nTTCI\n2011 2011\nTTCI\nIndex,comparee,receipts per capita in 2005,what,selected latin american countries,receipts per capita in 2005,country,most,what country had the most receipts per capita in 2005 ?
3434,least,Tourism in Brazil,Selected\nLatin American\ncountries Internl.\ntourism\narrivals\n2010\n(x 1000) Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000) Average\nreceipt\nper visitor\n2009\n(USD/turista) Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007 Receipts\nper\ncapita \n2005\nUSD Revenues\nas %\nexports of\ngoods and\nservices\n2003 Tourism\nincome\n %\nGDP\n2003 % Direct and\nindirect\nemployment\nin tourism\n2005 World\nranking\nTourism\nCompetitiv.\nTTCI\n2011 2011\nTTCI\nIndex,comparee,arrivals per 1000 inhabitants in 2007(estimated),what,selected latin american countries,arrivals per 1000 inhabitants in 2007(estimated),country,least,what country had the least arrivals per 1000 inhabitants in 2007(estimated) ?
3435,most,Tourism in Brazil,Selected\nLatin American\ncountries Internl.\ntourism\narrivals\n2010\n(x 1000) Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000) Average\nreceipt\nper visitor\n2009\n(USD/turista) Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007 Receipts\nper\ncapita \n2005\nUSD Revenues\nas %\nexports of\ngoods and\nservices\n2003 Tourism\nincome\n %\nGDP\n2003 % Direct and\nindirect\nemployment\nin tourism\n2005 World\nranking\nTourism\nCompetitiv.\nTTCI\n2011 2011\nTTCI\nIndex,comparee,international tourism arrivals in 2010,what,selected latin american countries,international tourism arrivals in 2010,name,most,what is the name of the country that had the most international tourism arrivals in 2010 ?
3436,least,Tourism in Brazil,Selected\nLatin American\ncountries Internl.\ntourism\narrivals\n2010\n(x 1000) Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000) Average\nreceipt\nper visitor\n2009\n(USD/turista) Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007 Receipts\nper\ncapita \n2005\nUSD Revenues\nas %\nexports of\ngoods and\nservices\n2003 Tourism\nincome\n %\nGDP\n2003 % Direct and\nindirect\nemployment\nin tourism\n2005 World\nranking\nTourism\nCompetitiv.\nTTCI\n2011 2011\nTTCI\nIndex,comparee,amount of tourism income in 2003,which,selected latin american countries,amount of tourism income in 2003,country,least,which country had the least amount of tourism income in 2003 ?
3437,best,Tourism in Brazil,Selected\nLatin American\ncountries Internl.\ntourism\narrivals\n2010\n(x 1000) Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000) Average\nreceipt\nper visitor\n2009\n(USD/turista) Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007 Receipts\nper\ncapita \n2005\nUSD Revenues\nas %\nexports of\ngoods and\nservices\n2003 Tourism\nincome\n %\nGDP\n2003 % Direct and\nindirect\nemployment\nin tourism\n2005 World\nranking\nTourism\nCompetitiv.\nTTCI\n2011 2011\nTTCI\nIndex,comparee,world ranking tourism competitiv. ttci 2011,what,selected latin american countries,world ranking tourism competitiv. ttci 2011,country,most,what country ranks the best in most categories ?
3438,largest,Tourism in Brazil,Selected\nLatin American\ncountries Internl.\ntourism\narrivals\n2010\n(x 1000) Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000) Average\nreceipt\nper visitor\n2009\n(USD/turista) Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007 Receipts\nper\ncapita \n2005\nUSD Revenues\nas %\nexports of\ngoods and\nservices\n2003 Tourism\nincome\n %\nGDP\n2003 % Direct and\nindirect\nemployment\nin tourism\n2005 World\nranking\nTourism\nCompetitiv.\nTTCI\n2011 2011\nTTCI\nIndex,comparee,number of tourism arrivals in 2010,which,selected latin american countries,number of tourism arrivals in 2010,latin american country,most,which latin american country had the largest number of tourism arrivals in 2010 ?
3439,last,Tourism in Brazil,Selected\nLatin American\ncountries Internl.\ntourism\narrivals\n2010\n(x 1000) Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000) Average\nreceipt\nper visitor\n2009\n(USD/turista) Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007 Receipts\nper\ncapita \n2005\nUSD Revenues\nas %\nexports of\ngoods and\nservices\n2003 Tourism\nincome\n %\nGDP\n2003 % Direct and\nindirect\nemployment\nin tourism\n2005 World\nranking\nTourism\nCompetitiv.\nTTCI\n2011 2011\nTTCI\nIndex,comparee,country,what,selected latin american countries,country,#,most,what is the last country listed on this chart ?
3440,most,Tourism in Brazil,Selected\nLatin American\ncountries Internl.\ntourism\narrivals\n2010\n(x 1000) Internl.\ntourism\nreceipts.\n2010\n(USD\n(x1000) Average\nreceipt\nper visitor\n2009\n(USD/turista) Tourist\narrivals\nper\n1000 inhab\n(estimated) \n2007 Receipts\nper\ncapita \n2005\nUSD Revenues\nas %\nexports of\ngoods and\nservices\n2003 Tourism\nincome\n %\nGDP\n2003 % Direct and\nindirect\nemployment\nin tourism\n2005 World\nranking\nTourism\nCompetitiv.\nTTCI\n2011 2011\nTTCI\nIndex,comparee,tourist income,what,selected latin american countries,tourist income,country,most,what country makes the most tourist income ?
3441,most,Shi Dongpeng,Position Notes,comparee,position,what,notes,position,distance,nan,what distance hurdles was run the most ?
3442,least,H-II,Flight,comparee,the h-ii flights,which,flight,the h-ii flights,flight,least,which flight was the least successful of the h-ii flights ?
3443,first,H-II,Date,comparee,h-ii flight take place,what,date,h-ii flight take place,year,least,in what year did the first h-ii flight take place ?
3444,earliest,H-II,Date,comparee,date of a flight,what,date,date of a flight,#,least,what was the earliest date of a flight ?
3445,last,H-II,Flight,comparee,position,what,flight,position,h-ii flight,nan,what h-ii flight took place last ?
3446,last,Patrik Berger,Opponent,comparee,opponent,what,opponent,opponent,opponent,most,what opponent is listed last on the table ?
3447,least,Patrik Berger,Result,comparee,result,which,result,result,result,least,list the opponent in which the result was the least out of all the results.
3448,most,Patrik Berger,# Date Venue Opponent Score Result Competition,comparee,goals,which,team,goals,team,most,which team did czech republic score the most goals against ?
3449,#,1984 Detroit Tigers season,Date,difference,crowd population,what,date,crowd population,april 22,nan,what is the difference in the crowd population on april 22 and april 29 ?
3450,most,1984 Detroit Tigers season,Opponent,comparee,their first 20 games,which,opponent,their first 20 games,team,least,"in their first 20 games, which team did the tigers play the most ?"
3451,more or less,2003 World Championships in Athletics,LOCATION|LOCATION Nation Nation,index,medals,has,nation,medals,dominican republic,less,has the dominican republic won more or less medals than china ?
3452,#,2003 World Championships in Athletics,Rank Nation,difference,rank,what,nation,rank,the u.s.,nan,what was the difference in rank between the u.s. and canada ?
3453,more,2004 Philadelphia Soul season,Home/Away Result,index,result,did,home/away,result,home games,more,did the team win more home games or away games ?
3454,first,2004 Philadelphia Soul season,Week Date Opponent Home/Away Result,difference,win,how many,#,win,games,least,how many games did the philadelphia soul lose before earning their first win ?
3455,first,2004 Philadelphia Soul season,Date,comparee,#,was,date,#,#,least,when was the first away game ?
3456,#,Kiruna FF,DATE Season Position Season,difference,position,what,season,position,2007,nan,what is the difference in position from the year 2007 and 2008 ?
3457,least,Kiruna FF,Division,comparee,entries,which,division,entries,division,least,which division has the least entries ?
3458,lowest,Kiruna FF,Position,comparee,position,what,position,position,#,nan,what is the lowest position earned during this team's history ?
3459,last,Kiruna FF,Season,comparee,season,was,season,season,#,most,when was the last season ?
3460,most,Kiruna FF,Division,comparee,entries,which,division,entries,division,most,which division as the most entries ?
3461,first,Kiruna FF,Season,comparee,season,was,season,season,#,least,when was the first season ?
3462,more,List of National Basketball Association players with most rebounds in a game,Date,index,records,were,date,records,1978,more,were more records set in 1978 or 1979 ?
3463,more,List of National Basketball Association players with most rebounds in a game,PERSON|PERSON Player Player,index,minutes,did,player,minutes,charles oakley,more,did charles oakley play more minutes than robert parish ?
3464,#,List of National Basketball Association players with most rebounds in a game,Player,difference,offensive rebounds,what,player,offensive rebounds,dennis rodman,nan,what is the difference between dennis rodman's offensive rebounds and robert parish offensive rebounds ?
3465,last,List of National Basketball Association players with most rebounds in a game,Player,comparee,place,how many,player,place,players,most,how many players tied for last place with a total of 30 rebounds ?
3466,least,2002 PGA Tour,Tournament,comparee,prize money to its 1st place finisher,which,tournament,prize money to its 1st place finisher,pga tour event,least,which pga tour event gave out the least prize money to its 1st place finisher ?
3467,most,2002 PGA Tour,Tournament,comparee,money for first prize,which,tournament,money for first prize,tournament,least,which tournament rewarded the most money for first prize ?
3468,most,2002 PGA Tour,Location,comparee,pga tour tournament,which,location,pga tour tournament,state,most,which state hosted the most pga tour tournaments ?
3469,last,2002 PGA Tour,Winner,comparee,pga tour event,who,winner,pga tour event,#,most,who win the last pga tour event of the year ?
3470,#,List of Organisation of Islamic Cooperation member states by GDP (PPP),LOCATION Country Country,difference,2012 gdp,what,country,2012 gdp,albania,nan,what is the difference in 2012 gdp between albania and algeria ?
3471,#,List of Organisation of Islamic Cooperation member states by GDP (PPP),LOCATION Country Country,difference,gdp (usd bin) in 2012,what,country,gdp (usd bin) in 2012,algeria,nan,what is the difference in the gdp (usd bin) in 2012 between algeria and comoros ?
3472,highest,List of Organisation of Islamic Cooperation member states by GDP (PPP),Country,comparee,2017 gdp,which,country,2017 gdp,country,most,which country has the highest 2017 gdp ?
3473,least,List of Organisation of Islamic Cooperation member states by GDP (PPP),Country,comparee,amount of per capita usd in 2012,which,country,amount of per capita usd in 2012,country,least,which country had the least amount of per capita usd in 2012 ?
3474,highest,List of Organisation of Islamic Cooperation member states by GDP (PPP),Country,comparee,per capita (usd) for 2017,which,country,per capita (usd) for 2017,country,most,which country has the highest per capita (usd) for 2017 ?
3475,most,2007 Aaron's 499,Driver,comparee,bonus points,who,driver,bonus points,#,most,who got the most bonus points ?
3476,most,2007 Aaron's 499,Make,comparee,consecutive finishes,which,make,consecutive finishes,make,most,which make had the most consecutive finishes at the aarons 499 ?
3477,least,2007 Aaron's 499,Driver,comparee,amount of winnings,what,driver,amount of winnings,driver,least,what driver earned the least amount of winnings ?
3478,first,2007 Aaron's 499,Driver,comparee,number of winnings,who,driver,number of winnings,#,least,who is first in number of winnings on this list ?
3479,longer,Human rights in Niger,PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON PERSON|PERSON President President President President President President President,comparee,#,who,president,#,ali saibou,nan,"who ruled longer, ali saibou or mamadou tandja ?"
